product_key,productnumber,product_name,color,size,productline,class,style,listprice,standardcost,makeflag,productsubcategoryid,subcategory_name,productcategoryid,category_name
1,AR-5381,Adjustable Race,,,,,,0,0,f,,Unassigned,,Uncategorized
2,BA-8327,Bearing Ball,,,,,,0,0,f,,Unassigned,,Uncategorized
3,BE-2349,BB Ball Bearing,,,,,,0,0,t,,Unassigned,,Uncategorized
4,BE-2908,Headset Ball Bearings,,,,,,0,0,f,,Unassigned,,Uncategorized
316,BL-2036,Blade,,,,,,0,0,t,,Unassigned,,Uncategorized
317,CA-5965,LL Crankarm,Black,,,L ,,0,0,f,,Unassigned,,Uncategorized
318,CA-6738,ML Crankarm,Black,,,M ,,0,0,f,,Unassigned,,Uncategorized
319,CA-7457,HL Crankarm,Black,,,,,0,0,f,,Unassigned,,Uncategorized
320,CB-2903,Chainring Bolts,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
321,CN-6137,Chainring Nut,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
322,CR-7833,Chainring,Black,,,,,0,0,f,,Unassigned,,Uncategorized
323,CR-9981,Crown Race,,,,,,0,0,f,,Unassigned,,Uncategorized
324,CS-2812,Chain Stays,,,,,,0,0,t,,Unassigned,,Uncategorized
325,DC-8732,Decal 1,,,,,,0,0,f,,Unassigned,,Uncategorized
326,DC-9824,Decal 2,,,,,,0,0,f,,Unassigned,,Uncategorized
327,DT-2377,Down Tube,,,,,,0,0,t,,Unassigned,,Uncategorized
328,EC-M092,Mountain End Caps,,,,,,0,0,t,,Unassigned,,Uncategorized
329,EC-R098,Road End Caps,,,,,,0,0,t,,Unassigned,,Uncategorized
330,EC-T209,Touring End Caps,,,,,,0,0,t,,Unassigned,,Uncategorized
331,FE-3760,Fork End,,,,,,0,0,t,,Unassigned,,Uncategorized
332,FH-2981,Freewheel,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
341,FW-1000,Flat Washer 1,,,,,,0,0,f,,Unassigned,,Uncategorized
342,FW-1200,Flat Washer 6,,,,,,0,0,f,,Unassigned,,Uncategorized
343,FW-1400,Flat Washer 2,,,,,,0,0,f,,Unassigned,,Uncategorized
344,FW-3400,Flat Washer 9,,,,,,0,0,f,,Unassigned,,Uncategorized
345,FW-3800,Flat Washer 4,,,,,,0,0,f,,Unassigned,,Uncategorized
346,FW-5160,Flat Washer 3,,,,,,0,0,f,,Unassigned,,Uncategorized
347,FW-5800,Flat Washer 8,,,,,,0,0,f,,Unassigned,,Uncategorized
348,FW-7160,Flat Washer 5,,,,,,0,0,f,,Unassigned,,Uncategorized
349,FW-9160,Flat Washer 7,,,,,,0,0,f,,Unassigned,,Uncategorized
350,FC-3654,Fork Crown,,,,,,0,0,t,,Unassigned,,Uncategorized
351,FC-3982,Front Derailleur Cage,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
352,FL-2301,Front Derailleur Linkage,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
355,GP-0982,Guide Pulley,,,,,,0,0,f,,Unassigned,,Uncategorized
356,GT-0820,LL Grip Tape,,,,L ,,0,0,f,,Unassigned,,Uncategorized
357,GT-1209,ML Grip Tape,,,,M ,,0,0,f,,Unassigned,,Uncategorized
358,GT-2908,HL Grip Tape,,,,,,0,0,f,,Unassigned,,Uncategorized
359,HJ-1213,Thin-Jam Hex Nut 9,,,,,,0,0,f,,Unassigned,,Uncategorized
360,HJ-1220,Thin-Jam Hex Nut 10,,,,,,0,0,f,,Unassigned,,Uncategorized
361,HJ-1420,Thin-Jam Hex Nut 1,,,,,,0,0,f,,Unassigned,,Uncategorized
362,HJ-1428,Thin-Jam Hex Nut 2,,,,,,0,0,f,,Unassigned,,Uncategorized
363,HJ-3410,Thin-Jam Hex Nut 15,,,,,,0,0,f,,Unassigned,,Uncategorized
364,HJ-3416,Thin-Jam Hex Nut 16,,,,,,0,0,f,,Unassigned,,Uncategorized
365,HJ-3816,Thin-Jam Hex Nut 5,,,,,,0,0,f,,Unassigned,,Uncategorized
366,HJ-3824,Thin-Jam Hex Nut 6,,,,,,0,0,f,,Unassigned,,Uncategorized
367,HJ-5161,Thin-Jam Hex Nut 3,,,,,,0,0,f,,Unassigned,,Uncategorized
368,HJ-5162,Thin-Jam Hex Nut 4,,,,,,0,0,f,,Unassigned,,Uncategorized
369,HJ-5811,Thin-Jam Hex Nut 13,,,,,,0,0,f,,Unassigned,,Uncategorized
370,HJ-5818,Thin-Jam Hex Nut 14,,,,,,0,0,f,,Unassigned,,Uncategorized
371,HJ-7161,Thin-Jam Hex Nut 7,,,,,,0,0,f,,Unassigned,,Uncategorized
372,HJ-7162,Thin-Jam Hex Nut 8,,,,,,0,0,f,,Unassigned,,Uncategorized
373,HJ-9080,Thin-Jam Hex Nut 12,,,,,,0,0,f,,Unassigned,,Uncategorized
374,HJ-9161,Thin-Jam Hex Nut 11,,,,,,0,0,f,,Unassigned,,Uncategorized
375,HN-1024,Hex Nut 5,,,,,,0,0,f,,Unassigned,,Uncategorized
376,HN-1032,Hex Nut 6,,,,,,0,0,f,,Unassigned,,Uncategorized
377,HN-1213,Hex Nut 16,,,,,,0,0,f,,Unassigned,,Uncategorized
378,HN-1220,Hex Nut 17,,,,,,0,0,f,,Unassigned,,Uncategorized
379,HN-1224,Hex Nut 7,,,,,,0,0,f,,Unassigned,,Uncategorized
380,HN-1420,Hex Nut 8,,,,,,0,0,f,,Unassigned,,Uncategorized
381,HN-1428,Hex Nut 9,,,,,,0,0,f,,Unassigned,,Uncategorized
382,HN-3410,Hex Nut 22,,,,,,0,0,f,,Unassigned,,Uncategorized
383,HN-3416,Hex Nut 23,,,,,,0,0,f,,Unassigned,,Uncategorized
384,HN-3816,Hex Nut 12,,,,,,0,0,f,,Unassigned,,Uncategorized
385,HN-3824,Hex Nut 13,,,,,,0,0,f,,Unassigned,,Uncategorized
386,HN-4402,Hex Nut 1,,,,,,0,0,f,,Unassigned,,Uncategorized
387,HN-5161,Hex Nut 10,,,,,,0,0,f,,Unassigned,,Uncategorized
388,HN-5162,Hex Nut 11,,,,,,0,0,f,,Unassigned,,Uncategorized
389,HN-5400,Hex Nut 2,,,,,,0,0,f,,Unassigned,,Uncategorized
390,HN-5811,Hex Nut 20,,,,,,0,0,f,,Unassigned,,Uncategorized
391,HN-5818,Hex Nut 21,,,,,,0,0,f,,Unassigned,,Uncategorized
392,HN-6320,Hex Nut 3,,,,,,0,0,f,,Unassigned,,Uncategorized
393,HN-7161,Hex Nut 14,,,,,,0,0,f,,Unassigned,,Uncategorized
394,HN-7162,Hex Nut 15,,,,,,0,0,f,,Unassigned,,Uncategorized
395,HN-8320,Hex Nut 4,,,,,,0,0,f,,Unassigned,,Uncategorized
396,HN-9161,Hex Nut 18,,,,,,0,0,f,,Unassigned,,Uncategorized
397,HN-9168,Hex Nut 19,,,,,,0,0,f,,Unassigned,,Uncategorized
398,HT-2981,Handlebar Tube,,,,,,0,0,t,,Unassigned,,Uncategorized
399,HT-8019,Head Tube,,,,,,0,0,t,,Unassigned,,Uncategorized
400,HU-6280,LL Hub,,,,L ,,0,0,t,,Unassigned,,Uncategorized
401,HU-8998,HL Hub,,,,,,0,0,t,,Unassigned,,Uncategorized
402,KW-4091,Keyed Washer,,,,,,0,0,f,,Unassigned,,Uncategorized
403,LE-1000,External Lock Washer 3,,,,,,0,0,f,,Unassigned,,Uncategorized
404,LE-1200,External Lock Washer 4,,,,,,0,0,f,,Unassigned,,Uncategorized
405,LE-1201,External Lock Washer 9,,,,,,0,0,f,,Unassigned,,Uncategorized
406,LE-1400,External Lock Washer 5,,,,,,0,0,f,,Unassigned,,Uncategorized
407,LE-3800,External Lock Washer 7,,,,,,0,0,f,,Unassigned,,Uncategorized
408,LE-5160,External Lock Washer 6,,,,,,0,0,f,,Unassigned,,Uncategorized
409,LE-6000,External Lock Washer 1,,,,,,0,0,f,,Unassigned,,Uncategorized
410,LE-7160,External Lock Washer 8,,,,,,0,0,f,,Unassigned,,Uncategorized
411,LE-8000,External Lock Washer 2,,,,,,0,0,f,,Unassigned,,Uncategorized
412,LI-1000,Internal Lock Washer 3,,,,,,0,0,f,,Unassigned,,Uncategorized
413,LI-1200,Internal Lock Washer 4,,,,,,0,0,f,,Unassigned,,Uncategorized
414,LI-1201,Internal Lock Washer 9,,,,,,0,0,f,,Unassigned,,Uncategorized
415,LI-1400,Internal Lock Washer 5,,,,,,0,0,f,,Unassigned,,Uncategorized
416,LI-3800,Internal Lock Washer 7,,,,,,0,0,f,,Unassigned,,Uncategorized
417,LI-5160,Internal Lock Washer 6,,,,,,0,0,f,,Unassigned,,Uncategorized
418,LI-5800,Internal Lock Washer 10,,,,,,0,0,f,,Unassigned,,Uncategorized
419,LI-6000,Internal Lock Washer 1,,,,,,0,0,f,,Unassigned,,Uncategorized
420,LI-7160,Internal Lock Washer 8,,,,,,0,0,f,,Unassigned,,Uncategorized
421,LI-8000,Internal Lock Washer 2,,,,,,0,0,f,,Unassigned,,Uncategorized
422,LJ-1213,Thin-Jam Lock Nut 9,,,,,,0,0,f,,Unassigned,,Uncategorized
423,LJ-1220,Thin-Jam Lock Nut 10,,,,,,0,0,f,,Unassigned,,Uncategorized
424,LJ-1420,Thin-Jam Lock Nut 1,,,,,,0,0,f,,Unassigned,,Uncategorized
425,LJ-1428,Thin-Jam Lock Nut 2,,,,,,0,0,f,,Unassigned,,Uncategorized
426,LJ-3410,Thin-Jam Lock Nut 15,,,,,,0,0,f,,Unassigned,,Uncategorized
427,LJ-3416,Thin-Jam Lock Nut 16,,,,,,0,0,f,,Unassigned,,Uncategorized
428,LJ-3816,Thin-Jam Lock Nut 5,,,,,,0,0,f,,Unassigned,,Uncategorized
429,LJ-3824,Thin-Jam Lock Nut 6,,,,,,0,0,f,,Unassigned,,Uncategorized
430,LJ-5161,Thin-Jam Lock Nut 3,,,,,,0,0,f,,Unassigned,,Uncategorized
431,LJ-5162,Thin-Jam Lock Nut 4,,,,,,0,0,f,,Unassigned,,Uncategorized
432,LJ-5811,Thin-Jam Lock Nut 13,,,,,,0,0,f,,Unassigned,,Uncategorized
433,LJ-5818,Thin-Jam Lock Nut 14,,,,,,0,0,f,,Unassigned,,Uncategorized
434,LJ-7161,Thin-Jam Lock Nut 7,,,,,,0,0,f,,Unassigned,,Uncategorized
435,LJ-7162,Thin-Jam Lock Nut 8,,,,,,0,0,f,,Unassigned,,Uncategorized
436,LJ-9080,Thin-Jam Lock Nut 12,,,,,,0,0,f,,Unassigned,,Uncategorized
437,LJ-9161,Thin-Jam Lock Nut 11,,,,,,0,0,f,,Unassigned,,Uncategorized
438,LN-1024,Lock Nut 5,,,,,,0,0,f,,Unassigned,,Uncategorized
439,LN-1032,Lock Nut 6,,,,,,0,0,f,,Unassigned,,Uncategorized
440,LN-1213,Lock Nut 16,,,,,,0,0,f,,Unassigned,,Uncategorized
441,LN-1220,Lock Nut 17,,,,,,0,0,f,,Unassigned,,Uncategorized
442,LN-1224,Lock Nut 7,,,,,,0,0,f,,Unassigned,,Uncategorized
443,LN-1420,Lock Nut 8,,,,,,0,0,f,,Unassigned,,Uncategorized
444,LN-1428,Lock Nut 9,,,,,,0,0,f,,Unassigned,,Uncategorized
445,LN-3410,Lock Nut 22,,,,,,0,0,f,,Unassigned,,Uncategorized
446,LN-3416,Lock Nut 23,,,,,,0,0,f,,Unassigned,,Uncategorized
447,LN-3816,Lock Nut 12,,,,,,0,0,f,,Unassigned,,Uncategorized
448,LN-3824,Lock Nut 13,,,,,,0,0,f,,Unassigned,,Uncategorized
449,LN-4400,Lock Nut 1,,,,,,0,0,f,,Unassigned,,Uncategorized
450,LN-5161,Lock Nut 10,,,,,,0,0,f,,Unassigned,,Uncategorized
451,LN-5162,Lock Nut 11,,,,,,0,0,f,,Unassigned,,Uncategorized
452,LN-5400,Lock Nut 2,,,,,,0,0,f,,Unassigned,,Uncategorized
453,LN-5811,Lock Nut 20,,,,,,0,0,f,,Unassigned,,Uncategorized
454,LN-5818,Lock Nut 21,,,,,,0,0,f,,Unassigned,,Uncategorized
455,LN-6320,Lock Nut 3,,,,,,0,0,f,,Unassigned,,Uncategorized
456,LN-7161,Lock Nut 14,,,,,,0,0,f,,Unassigned,,Uncategorized
457,LN-7162,Lock Nut 15,,,,,,0,0,f,,Unassigned,,Uncategorized
458,LN-8320,Lock Nut 4,,,,,,0,0,f,,Unassigned,,Uncategorized
459,LN-9080,Lock Nut 19,,,,,,0,0,f,,Unassigned,,Uncategorized
460,LN-9161,Lock Nut 18,,,,,,0,0,f,,Unassigned,,Uncategorized
461,LR-2398,Lock Ring,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
462,LR-8520,Lower Head Race,,,,,,0,0,f,,Unassigned,,Uncategorized
463,LW-1000,Lock Washer 4,,,,,,0,0,f,,Unassigned,,Uncategorized
464,LW-1200,Lock Washer 5,,,,,,0,0,f,,Unassigned,,Uncategorized
465,LW-1201,Lock Washer 10,,,,,,0,0,f,,Unassigned,,Uncategorized
466,LW-1400,Lock Washer 6,,,,,,0,0,f,,Unassigned,,Uncategorized
467,LW-3400,Lock Washer 13,,,,,,0,0,f,,Unassigned,,Uncategorized
468,LW-3800,Lock Washer 8,,,,,,0,0,f,,Unassigned,,Uncategorized
469,LW-4000,Lock Washer 1,,,,,,0,0,f,,Unassigned,,Uncategorized
470,LW-5160,Lock Washer 7,,,,,,0,0,f,,Unassigned,,Uncategorized
471,LW-5800,Lock Washer 12,,,,,,0,0,f,,Unassigned,,Uncategorized
472,LW-6000,Lock Washer 2,,,,,,0,0,f,,Unassigned,,Uncategorized
473,LW-7160,Lock Washer 9,,,,,,0,0,f,,Unassigned,,Uncategorized
474,LW-8000,Lock Washer 3,,,,,,0,0,f,,Unassigned,,Uncategorized
475,LW-9160,Lock Washer 11,,,,,,0,0,f,,Unassigned,,Uncategorized
476,MA-7075,Metal Angle,,,,,,0,0,f,,Unassigned,,Uncategorized
477,MB-2024,Metal Bar 1,,,,,,0,0,f,,Unassigned,,Uncategorized
478,MB-6061,Metal Bar 2,,,,,,0,0,f,,Unassigned,,Uncategorized
479,MP-2066,Metal Plate 2,,,,,,0,0,f,,Unassigned,,Uncategorized
480,MP-2503,Metal Plate 1,,,,,,0,0,f,,Unassigned,,Uncategorized
481,MP-4960,Metal Plate 3,,,,,,0,0,f,,Unassigned,,Uncategorized
482,MS-0253,Metal Sheet 2,,,,,,0,0,f,,Unassigned,,Uncategorized
483,MS-1256,Metal Sheet 3,,,,,,0,0,f,,Unassigned,,Uncategorized
484,MS-1981,Metal Sheet 7,,,,,,0,0,f,,Unassigned,,Uncategorized
485,MS-2259,Metal Sheet 4,,,,,,0,0,f,,Unassigned,,Uncategorized
486,MS-2341,Metal Sheet 5,,,,,,0,0,f,,Unassigned,,Uncategorized
487,MS-2348,Metal Sheet 6,,,,,,0,0,f,,Unassigned,,Uncategorized
488,MS-6061,Metal Sheet 1,,,,,,0,0,f,,Unassigned,,Uncategorized
489,MT-1000,Metal Tread Plate,,,,,,0,0,f,,Unassigned,,Uncategorized
490,NI-4127,LL Nipple,,,,L ,,0,0,f,,Unassigned,,Uncategorized
491,NI-9522,HL Nipple,,,,,,0,0,f,,Unassigned,,Uncategorized
492,PA-187B,Paint - Black,,,,,,0,0,f,,Unassigned,,Uncategorized
493,PA-361R,Paint - Red,,,,,,0,0,f,,Unassigned,,Uncategorized
494,PA-529S,Paint - Silver,,,,,,0,0,f,,Unassigned,,Uncategorized
495,PA-632U,Paint - Blue,,,,,,0,0,f,,Unassigned,,Uncategorized
496,PA-823Y,Paint - Yellow,,,,,,0,0,f,,Unassigned,,Uncategorized
497,PB-6109,Pinch Bolt,,,,,,0,0,f,,Unassigned,,Uncategorized
504,RA-2345,Cup-Shaped Race,,,,,,0,0,f,,Unassigned,,Uncategorized
505,RA-7490,Cone-Shaped Race,,,,,,0,0,f,,Unassigned,,Uncategorized
506,RF-9198,Reflector,,,,,,0,0,f,,Unassigned,,Uncategorized
507,RM-M464,LL Mountain Rim,,,,L ,,0,0,f,,Unassigned,,Uncategorized
508,RM-M692,ML Mountain Rim,,,,M ,,0,0,f,,Unassigned,,Uncategorized
509,RM-M823,HL Mountain Rim,,,,,,0,0,f,,Unassigned,,Uncategorized
510,RM-R436,LL Road Rim,,,,L ,,0,0,f,,Unassigned,,Uncategorized
511,RM-R600,ML Road Rim,,,,M ,,0,0,f,,Unassigned,,Uncategorized
512,RM-R800,HL Road Rim,,,,,,0,0,f,,Unassigned,,Uncategorized
513,RM-T801,Touring Rim,,,,,,0,0,f,,Unassigned,,Uncategorized
514,SA-M198,LL Mountain Seat Assembly,,,,L ,,133.34,98.77,t,,Unassigned,,Uncategorized
515,SA-M237,ML Mountain Seat Assembly,,,,M ,,147.14,108.99,t,,Unassigned,,Uncategorized
516,SA-M687,HL Mountain Seat Assembly,,,,,,196.92,145.87,t,,Unassigned,,Uncategorized
517,SA-R127,LL Road Seat Assembly,,,,L ,,133.34,98.77,t,,Unassigned,,Uncategorized
518,SA-R430,ML Road Seat Assembly,,,,M ,,147.14,108.99,t,,Unassigned,,Uncategorized
519,SA-R522,HL Road Seat Assembly,,,,,,196.92,145.87,t,,Unassigned,,Uncategorized
520,SA-T467,LL Touring Seat Assembly,,,,L ,,133.34,98.77,t,,Unassigned,,Uncategorized
521,SA-T612,ML Touring Seat Assembly,,,,M ,,147.14,108.99,t,,Unassigned,,Uncategorized
522,SA-T872,HL Touring Seat Assembly,,,,,,196.92,145.87,t,,Unassigned,,Uncategorized
523,SD-2342,LL Spindle/Axle,,,,L ,,0,0,f,,Unassigned,,Uncategorized
524,SD-9872,HL Spindle/Axle,,,,,,0,0,f,,Unassigned,,Uncategorized
525,SH-4562,LL Shell,,,,L ,,0,0,f,,Unassigned,,Uncategorized
526,SH-9312,HL Shell,,,,,,0,0,f,,Unassigned,,Uncategorized
527,SK-9283,Spokes,,,,,,0,0,f,,Unassigned,,Uncategorized
528,SL-0931,Seat Lug,,,,,,0,0,f,,Unassigned,,Uncategorized
529,SM-9087,Stem,,,,,,0,0,t,,Unassigned,,Uncategorized
530,SP-2981,Seat Post,,,,,,0,0,f,,Unassigned,,Uncategorized
531,SR-2098,Steerer,,,,,,0,0,t,,Unassigned,,Uncategorized
532,SS-2985,Seat Stays,,,,,,0,0,t,,Unassigned,,Uncategorized
533,ST-9828,Seat Tube,,,,,,0,0,t,,Unassigned,,Uncategorized
534,TO-2301,Top Tube,,,,,,0,0,t,,Unassigned,,Uncategorized
535,TP-0923,Tension Pulley,,,,,,0,0,f,,Unassigned,,Uncategorized
679,RC-0291,Rear Derailleur Cage,Silver,,,,,0,0,f,,Unassigned,,Uncategorized
680,FR-R92B-58,"HL Road Frame - Black, 58",Black,58,R ,H ,U ,1431.5,1059.31,t,14,Road Frames,2,Components
